ID,Text,Label
2839,"Ek chis jo Sabse badi jhut Kabir Singh maine rape ki baat ki geye hai jab ki
rape ki dur dur tak kahi nahi dikhaya geya hai or nahi Kabir Singh koi Ganda
larka dikhaya geya hai  
Haa ek chis hai k Preeti ke dad ne uske jazbaat o nahi samjha inha ek ladki k
marzi Ko down kiya geya hai ey maine maanti hu per aisa to hota nahi hai k hum
ake Apne dad Ko kuchh kehete hai or wo maan jate hai to ey sachhai hi dikhaya
hai  
Or wo actress Ko Kabir ne kaha k maine tum se physical relationship maine hi
rehe Sakta hu per isse ey ek baat wo saf kar deta hai k kapde press karke ya
fir uske liye khana banake wo Kabir ka peyar nahi pa Sakti to ey ummid chhod
de",0
4156,"Aapka Hollywood k baare mein Kya kehna hai? Like agar aap uspe bhi ek review
do toh achha ho.",0
43,"Menay bi yahi kiya ....  
Abb meri zindgi ky waqai may hi lag gy..😂😂😂",0
366,Or sab thik hai ...bhai T-shirt 😂😂😍,0
1947,Apne apne life jeeneka huq h,0
5481,"ektoh janam se single, upar se agar aisa chalta raha toh ladka log ladkion se
baat karna toh dur kabhi aas pas jaane se bhi darega. 😑",0
3717,Sir unkeliye kuch au restrictions ke sat yo join Kar saktehe,0
199,Thik bola hai bhai,0
1956,"Sahi h bhai ""dost ko pata hi ni chalta ki chutiye ko koi matlab ni h usse""",0
3668,Esi movie banai hi kyu hai,0
5741,haaaaa haaaaaaa haaaaa,0
474,"Bhaiya maine bhi apne dosto ko yahi bola ki kuch nahi h wahi story ko baar
baar naye chehro ke saath dikhaya jata h par mere chutiye dost to movie dekh
ke pagal se ho gye the",0
1513,"Bhai aap ne toh movie ka post mortem kar diya. But what said is absolutely
true.  
Bhai aap kuch achhi movies ka naam batao na dekhne layak.",0
2638,Liberals aur feminist khali khopdi wale log hai,0
5622,"good..keep it up...jhoote cases krna band kro, ladko ko fasana band kro,
ladkiyo ke liye itne saare rules bnana band kro,...",0
2707,Kung fu kutta. Arnab you nailed it. Maja agya. Sahi Naam bataya,0
5746,tera dimag kharab h,0
1126,Ambar Dey hahahahaha sahi kaha,0
1231,Jay Sri Ram. Bagot badiya pratik ji bas ad kam dala karo..,0
1225,Tu tu chutiyaa hai,0
4509,@Diwan Upendra 9250295775,0
1951,[19:17](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=19m17s) aag tha,0
4651,"me liberal nhi hu par film me koi logic nhi hai ganja pekar operation kr rha
kuch bhi mtlb",0
5201,kin chutiyo me unlike kiya????,0
