ID,Text,Label
6319,@kathOsceansgdr @DisOceansgdr Io non ho fatto nulla porca puttana,0
5699,Dopo una società fin troppo chiara e cristallina.....anche un allenatore che dice la verità pubblicamente....non sara forse troppo.......????siamo in Italia porca puttana.?⚫?,0
7556,Ma porca di quella grandissima puttana e io dovrei anche stare zitta poi https://t.co/TpcY8tJqpx,0
2902,donne cattive,1
2277,femmina ributtante,1
8806,amare ragazza,0
5972,Mamma mia alex Sandro porca puttana,0
8883,madre orribile,1
1671,donne dovrebbero essere maltrattate,1
9423,spose sceme,1
9852,signorine dovrebbero essere torturate,1
9845,spose eccezionali,0
4412,"@iosonokarma @GioSantucci Ora non riderà più il nano napoleonico,ci prendeva in giro e rideva con la culona della Merkel,ora ridiamo noi è agli arresti domiciliari intanto,????????",1
7963,ragazze non dovrebbero essere strangolate,0
4929,Oddio raga cosa vuol dire Oddio Oddio Oddio non sono pronta Sono stata attaccata a Twitter tutt’oggi e appena me ne vado Louis posta questo porca puttana https://t.co/i8DnhReT4f,0
5039,"-quindi, io dico, è giusto bei confronti di una donna tale gesto? Chi siete voi per dare della puttana, troia, zoccola, pompinara, mangiacazzi e così via a una donna? Mettiamola così, vostra madre per voi è una santa non lo metto in dubbio che siete i pri",0
3340,"Dio, nella prossima vita, tettona e oca, grazie.",1
6221,"#Piazzapulita Roma ha problemi, e' vero.... ma porca puttana sapete parlare solo di questo? per voi l'importante e' parlare male del M5S, che schifo di informazione.. ogni tanto cambiate citta' altrimenti e' evidente che vi pagano per sparlare solo di Roma...",0
8672,signore ammirevoli,0
1872,maltrattare fidanzate,1
9836,ragazze eccellenti,0
4515,RT @incontricasa: ?? LA BOCCUCCIA D'ORA DELLA MIA MOGLIE POMPINARA ?COPPIA LEI ABILE POMPINARA IO PORCO GUARDONE CERCHIAMO GIOVANI DA FAR…,1
6706,"@IlconteZio @Lampredotto69 @AsiaArgento @matteosalvinimi La gente normale non crede nulla, è un personaggio cinematografico e il cinema è arte, non ha colore politico, dovrebbe saperlo anche Asia Argento, che una volta era una artista e pur sapendo che fo",0
3915,@sexystarMarika Bentornata su Twitter tettona!!!,1
1527,casalinghe amabili,0
7275,oggi dovevo uscire con i miei amici ma come al solito sono crollata porca puttana spero non si siano incazzati,0
6834,@winteriscomving chiamami porca puttana,0
6042,Vaffanculo.....Porca puttana!.....Che due coglioni! https://t.co/fgCnLWjKfR,0
2222,casalinga odiosa,1
7326,PORCA PUTTANA EDWARD CHE SALVA MARTIN IO VOGLIOM O R I R EM A L E#Gotham,0
72,@ShuShuHC @CanettiQueen Io ad una che dice così le darei un sacco di schiaffi,1
472,Tipica ragazza russa che a 29 anni è strafiga e a 30 scade improvvisamente e diventa culona inchinavabile,1
7203,@rruss1225 che brava pompinara,1
8674,figlie non dovrebbero essere amate,1
92,Che bella pompinara&#x1f60b;&#x1f60b;&#x1f60b;&#x1f60b;,1
7070,@LaDeny_ Torna a magn chiattona,1
9630,affogare madri,1
4970,Che cazzo mamma mia puttana Eva,0
3529,@Giuliettaxxx84 mamma guarda che culo enorme da vacca che hai...sei una lurida cagna ma io sono molto lurido e vorrei leccartelo dopo che hai fatto qualke scureggia e pure la fica dopo che hai pisciato.....troia https://t.co/6StO0Nvmcd,1
3134,"@arbitromirko @RossyPuppy Proprio lei, perchè non è il classico puttanone che ti fa solo sangue.",1
3301,@lasteffjna @_BlackJasmin_ Mo posto una foto così pure io. Qualcuno mi presta una tettona?,1
1308,donne non dovrebbero essere preservate,1
8220,rispettare sorelle,0
9436,sorella dovrebbe essere massacrata,1
5116,"Piccinini che sfigato,il pistolero,il matador missile terra aria,figa ma come cazzo è messo#BarcellonaRoma",0
3935,RT @Free95440926: @Ms_feet1 Che bel culone,1
7301,@FumusXse @Darsch1980 Gli stessi che a un bel culo preferiscono un cervello funzionante?,0
4542,"@bettericardi È una figa di legno Davide, mi disp ?",1
4535,@Dennyleon86 Quanti cazzi hai preso cagna? Fai un video mentre ti aprono il culo...,1
2507,mamma dovrebbe essere maltrattata,1
1856,fidanzata non dovrebbe essere malmenata,0
1587,omaggiare casalinghe,0
3890,@SexyRamonaXXX Ciao ramona bella tettona sei sempre sexi bellissima patatona bella bagnata uuummm,1
3693,@chasingthestars Un puttanone appunto  ????,1
5644,QUESTO NON È IN GRADO DI CORRERE MA BUTTATELO FUORI DALLA PISTA PORCA PUTTANA,0
7905,"sono così incazzata! dovete smetterla di considerare gli idol come qualcosa di vostra proprietà! non vi devono nulla, sono persone prima di tutto! hanno la loro privacy non sono degli oggetti porca puttana",0
9356,preservare signorina,0
8329,signorine dovrebbero essere difese,0
