ID,Text,Label
4246,@DimaSadek اصلا ياغشيمة مش قايل شي غلط. تاني شي تأكدتي بنفسك؟؟ هاهاها من وين من google??? يإلعلك عا هالخبرية.,1
4152,@DimaSadek الرد سريع وغير متوقع. وين حسن المسردب يرد على الثوار الاحرار . حبيت لبنان اكثر اكثر لانكم تكبرو القلب وتفرحو . الله يحفطكم شباب,0
5183,"@DimaSadek ما حدا حيسقط غيرك .. ع قلبك قاعدين 
#ديما_الواطية",1
2879,"@berrynawal كنا ب #ديما_الوطية
صرنا ب #نوال_البهلة.. يقطع عمرك شو زكية",1
439,@DimaSadek @Nada_Andraos عونية ووقحة,1
1911,"@DimaSadek متل ما قدرت السفارات تمول ثورة ما حفيها تشتري كل هالناس لتغطي لعبتها ؟
#قاهركي",0
3991,@DimaSadek انو عم بتهاجميهون شو بدك يهدوك بارفان وشانيل,0
1644,@berrynawal يلا معليش نوال العالم حاقنة وانت قلبك كبير. عموما قتلي بتفوت وما حدا بموت�,1
1785,@DimaSadek يللي ولائه فقط الديني للولي الفقيه لا يتبجح فيه في الفضاء العام وهذا دليل على انكم تابعين كلياً له وتتبعون التقية,0
519,@yumnafawaz ضروري تتعالجي . كمية الغباء اللي عندك لازما علاج,1
2252,"@DimaSadek واضح انك هبلة و عم تستهبلي كمان 
سماحة السيد قال لن يسقط العهد",1
2745,@julie_khoury1 @NicoleHajal مش مشكل ... فرفتو يا بيبي... بلشت بشامل و افرام و مكفاية. و حلم الصهر بالرئاسة، متل عشم… https://t.co/SUNDf4ja6C,0
3195,@DimaSadek فتنة و تحريض علجيش مطرحك الحبس يا زبالة انت https://t.co/4UbcOPVOQP,1
1450,@DimaSadek يعني انو فيديو حدا بيعملو بهالطريقة انو خلص يعني انو ما في سفارات بكل الاحوال رأيكم ونحترمه بس عم تتعبو حالكن,0
5213,@mustafajammal1 @Jessicaazar عم تسني سنانك؟ ايه ما بتمشي,0
4098,RT @star2009__: @DimaSadek كلن يعني كلن والشمطاء ديما الشرشوحة اتفه منن كلن,1
5069,أنا مابعرف ليش في ناس عاملة فولو ل @DimaSadek  وبتضل تسب فيها من كل الاطراف . انا شخصيا مابتعنيلي ارائها ولا بتمثلن… https://t.co/7W7fuzhp5Z,0
155,RT @HabibHusseinAy1: @DimaSadek يا واطية سألي دريان لمش دريان الله وين حاطو وقت وصل الملف على القضاء طلع قال السنيورة خط احمر ورمز من رموز…,1
4745,@DimaSadek هبلة ومسكوها طبلة,1
4443,@DimaSadek مش بس لح يقبرك لح يدعس بي قلبك,1
967,@AhmadBallout15 @DimaSadek ما حدن عم يهجم عالمقاومة يا اخي. انا من الاشرفية حبيب قلبي انت. الهجوم عالفساد وعالجميع… https://t.co/8xhCO9sJfH,0
2069,@yumnafawaz @General_Aoun يمنى منها إمرأة مين منتبه؟,1
248,@DimaSadek تيتا ديما يا هلا انتي المثال الأعلى عن اللبنانية يلي بيحكوا بدون ما يفهموا شو عم يحكوا,0
3763,@DimaSadek ولك انتي مزبلة تويتر,1
3324,"اهلا وسهلا بكي بطرابلس نورتي المدينة
سيدة حرة مستقلة ��✌�✌�✌�✌� #لبنان__ينتفض @DimaSadek https://t.co/djf1G5mCmG",0
4237,@yumnafawaz بشرفك انا ما بحب جرح بس بقلك ما بيطلعلك انتي بالذات احترمي الناس كي تحترمي,0
4425,@berrynawal الله يقويك ويحفظك وانتِ القوية وهني بلا أخلاق وخائنين لوطنهم والحمدالله على سلامتك,0
4085,@yumnafawaz انت من اي فصيلة؟,0
1633,@Ali_haidr1 @DimaSadek ما في اشطر منكن بنقل الاخبار الكاذبة,0
3163,@berrynawal ليش يا نوال مين طرح فكرة التعديل الحكومي � ما تدافعي عن الكراش تبعك �,0
314,"@DimaSadek ديما. انت احقر الناس 
انت وحدة بلا تربايه انت والي معك والي بحبك يا واطية",1
2202,@DimaSadek يا #ديما_الواطية كابوسك جبران باسيل و كلنا جبران. إنقبري كفّي و خافي ربّك � https://t.co/TxHF4jUsDQ,1
5028,@DimaSadek يا حماره قال لا نؤيد كمان ما بتفهمي الكلام السيد اخر همه إذا فل سعد أو ضل يقبرني ربه حامي شعبه بحمي الرحمن,1
3460,@DimaSadek العما بقلبك ما أسخفك فعلاً,1
1814,"@Jessicaazar ياعيب الشوم عليكن 
لي معارض برايه 
ويلي موافق 
انتو بتختلفووووو
والسياسيين قاعدين بيتفرجوا عليكم 
لبنا… https://t.co/KQoOtM2P5b",0
4529,@DimaSadek @LBCI_NEWS باحلامك بس الي عم تحاولي توصليلو بس باحلامك,0
182,@berrynawal منحبك نوال,0
3173,"@Marianafayad20 @DimaSadek الصحفية التي تنقل الخبر الصحيح وليست التي تعطي رأيها بالسياسة
انها تنتقد من حرر لها بلدت… https://t.co/cAhkZId00e",0
4057,"@yumnafawaz @saadhariri وشو بديلك يا كليوباترا
انا ضد الطبقة الفاسدة
الحراك بلا إطار وما فيه توحيد للمطالب
ماذا بعد ؟",0
2235,"@DimaSadek الثورة عطتك عمرها يا معترة هههه 
#ديما_الوطية",1
3974,@yumnafawaz المهم المضمون يا شاطرة,0
2960,@DimaSadek بليز لا تحكي عن الشرف. �,0
104,@meedamine10 @DimaSadek اللي بدق الباب بدو يسمع الجواب،،، رحم الله امرء عرف حده فوقف عنده,0
3227,@DimaSadek هيدا فائض القوّة لي مدمركن... Ufff,0
427,@DimaSadek يا ست ديما معك كل الحق بس هيدا يطبق على الوزير جبران باسيل يلي كل يوم عم تنهان والدتو,0
1106,"نانسي السبع لمي خريش 
وين المشكلة اذا استقال جبران وانقذ البلد ؟ 
تلعثمت وتلبكت وما عرفت ترد ���� @sabehnancy ����",0
689,@DimaSadek نورتي طرابلس يا عروسة شمال بنحبك كتير,0
4981,@NicoleHajal من امته بعدان الشي مش بطريق الجديده ،تاني الشي ماتزتي شي قبل التأكد مسجك وصل يعني مش هبل نحنا,0
4106,@DimaSadek روحي الله يسمّ بدنك ناقصو نهاري قرف أنا اليوم ..,1
225,"@DimaSadek تافهة منحطة وبايخة 
#لعبي_عقدك",1
4961,@DimaSadek بتستاهلي بزقة بخلقتك عهل قلة الحيا، تعي عضيعتك تيستقبلوكي اهل ضيعتك، والله ليستقبلوكي استقبال اهل الطيبة… https://t.co/zchA9XwgJu,1
2354,@DimaSadek هددوه بكشف فساد بري@حليفو قام بلع لسانو,0
746,@yumnafawaz حتى اتت يا ام نص لسان روحي انضبي,1
2469,"RT @ourwordsreach1: @AliMahd35302025 @DimaSadek العمى شو غبية 
وقوقها تفه",1
1593,@DimaSadek هول تاج راسك يا وسخة,1
1726,RT @Nana23912015: @DimaSadek شو حابي شوفك من شعرك عم تنجري وتاكلي قتلة���,1
4366,يوم عن يوم يثبت التيار ومن خاال رموزه انه مجرّد من الاخلاق: سمير صفير ينعت صحافية محترمة بالق**ة، جوزيف ابو فاضل قا… https://t.co/NhWcN4y9zd,0
4750,@DimaSadek @mazengh771 العمى ما اقرفك وما التخك تفههههههه,1
1469,"@DimaSadek حرية تعبير يا شاطرة..
أو هدول الشباب ما بحقلون يعبروا عن رأين",0
1416,"@ismail__ismail اذا انت واعي بس نانسي السبع ومحطتها لا زالت تؤجج الفتنة 
وفي نابلس مش بمستواك يعني بينلعب عليهن 
ال… https://t.co/ueQzMqCBYW",0
4475,"@NicoleHajal عزيزتي نيكول لازم تاخدوا قرار بال ال بي سي 
او المتظاهرين احلى عالم والشيخ بيقعد عالارض مع المتظاهرين… https://t.co/FVhXsiGfmd",0
379,@yumnafawaz يمنى فواز فعلا انك ساقطة,1
2484,@zahraayaghi11 @DimaSadek صدقيني هيدي ما تردي عليها بتنفزر لأنها متل جورة الوسخ بس تحركيها بتطلع ريحتها,1
159,"@yumnafawaz طلعتي مسترزقة 
ومعاشك من فوايد القرض من مصرف لبنان",0
3372,"@DimaSadek الله يشفيكِ
#اثق_بقرارك",0
1403,@DimaSadek انتي موتي و كلنا منقبرك بأجرينا ما تخافي بس خلصينا منك و من هل منطق الأعوج اللي عايشي فيه!! لك أكبر الأع… https://t.co/PYRfJuYpQ3,1
3052,@berrynawal سلامتك يا قلبي,0
780,@DimaSadek الله يسمع منك ويقبر قلبك الهي,1
2756,@yumnafawaz انتي لا شكل ولا مضمون ولا نفسية وتافهة كمان,1
4634,@wass46443840 @DimaSadek قصدك احمر مخلوقة بالعالم مع احترامي للحمار,1
4737,@NicoleHajal انضبي نيكول تفو,1
940,@NadimKoteich @DimaSadek �يلي بدو يحكي بالطالع وبالنازل شو مفروض ينتظر؟ وهيدي دمعة عمتي على ديما وعليك...,0
3727,@ahmedyassine30 نانسي السبع : لا لا ما انا ما قلّت مسلحين بس يبدو مسلحين بالحجار,0
2688,@NicoleHajal @LbciLebanon @DimaSadek ما احلاكي لما بيطلع منك كلام حلو,0
1750,@DimaSadek صهيونة وعاهرة,1
3620,@yumnafawaz متل ما بدك العالم يحترموا خياراتك احترمي خياراتهم ما تفكري حالك احسن منن اذا هيك بتفكري وبتحكي...,0
5231,"الجديد بحماسة نانسي السبع 
وتحريض على من ياتي الى ساحة الشهداء ويتكلم عن انتمائه لحزب الله 
ويقول كلن يعني كلن والس… https://t.co/W7dLCF2n2n",0
2900,"@DimaSadek #ديما_الوطية قال العهد مش الحكومة 
بس قلبك معمي �",1
546,@DimaSadek ديما بحب طمنيك طرابلس عروس الثورة.. رجعت لوجه الحقيقي، طائفية و عنصرية,0
4667,@DimaSadek روحي لعنة الله عليك يا #واطية,1
5083,@DimaSadek عندما تهب العاصفة اول المغادرين هم اصحاب الفتن امثالك يا #ديما_الوطية التي تحرض الناس ولديها مكان اخر عند الازمة.,1
3775,@berrynawal كلمة الحق انت انت عروسة الصحافه,0
5172,@DimaSadek وليه بتأعديش بالبيت انت وليك,1
