ID,Text,Label
1,@AhmadMoussaly @DimaSadek اي نحن ما منقبلها صرماية بإجرنا ...مبروك.ع راسكم,1
2,@berrynawal نوال شو قصتك كل يوم بتاكلي قتله شو صاير معك شي اليوم طمنينا عنك .,0
3,@DimaSadek انشالله بيقبر قلبك عن قريب ...يافهيمة عصرك,1
4,@DimaSadek @LBCI_NEWS @JeanFeghali يسلم لسانك من مصر يا ديما نحن معك,0
5,"@RammalNaima @DimaSadek من بجيب الحشيش عبيروت ؟ 
بعلبك يعني انتو",0
6,@DimaSadek فعلاً الثورة أنثى، برافو ديما,0
7,@berrynawal يخرب بيتك حبيتك,0
8,@DimaSadek انك بكل تواضع سفيهة منحطة عديمة المبدأ، ويجوز فيك القول بل يجب انك وضيعة، لست إلا مأمورة غبية تحتاجين ال… https://t.co/B68FXaFNex,1
9,@DimaSadek ضبي لسانك احسنلك ��,1
10,@DimaSadek يا حمارة يا صهيونية يا عاهرة هؤلاء بفضلهم انت لست في خضن تكفيري الا اذا كنت تحبين النغير,1
11,@DimaSadek كلنا #ديما_صادق ، #لبنان_ينتفص #انتو_احلى_عالم,0
12,RT @AkramHamade: إمرأه بكل رجالهن و زعمائهم. كلمة الحق لما تفعل فعلها بفئه ظالميه مستعبده. كلنا معك. انت بتقوينا #كلنا_ديما_صادق @DimaSadek,0
13,@Jessicaazar آه يا حنونة انت    ال ١٣ يوم من قطع الطرقات ما ابكتكي المهم ان تبكي متأخرة من ان لا تبكي,0
14,@DimaSadek ديما لحزب وقع طيارة لأهلك بقصد إسرائيلي,1
15,@berrynawal ابكي بترتاحي,1
16,@DimaSadek السيد يا حمارة,1
17,@DimaSadek انشا الله ليقبر قلبك,1
18,@RemmyDerbass @DimaSadek بتاخدي العقل، الله يحميكي ويعطيكي العافية,0
19,@bird99_b @DimaSadek بس يا بهلة,1
20,@yumnafawaz لو حدا غيرك يلّي حاطت التغريدة كان ممكن فكّر اتأكّد من صحّة الخبر. بس إنت شهادتك مجروحة بالحقد الأعمى على #حزب_الله,0
21,@DimaSadek انت دائما تمثلين المرأة الحرة التي تتمتع بالنقد البناء والتي تدافعين عن قضايا هذا المجتمع. فتحية لك و لكل حر مستقل في هذا البلد.,0
22,@JadHSaad1 @DimaSadek ما فهمانة هالمخلوقة كيف بيعتبروها صحفية,0
23,@DimaSadek يا مريضة موتي,1
24,"@DimaSadek قال لن يسقط العهد يا حمارة 
#ديما_الواطية �",1
25,@berrynawal لما تكوني عمتشتغلي ب قناة فتنويه واعلام موجه ضد (بيئتك ) فئة معينه ، بدك تتحملي ردود الفعل . عفكرا كنت مفكرك احسن من هيك,0
26,@DimaSadek انشالله بيقبرك إنتي وعيلتك�,1
27,@DimaSadek انا ضد تناول الأشخاص بعائلاتهم، معيب هل شعار برأي ... خلونا نخلي اللغة حضارية,0
28,@DimaSadek قال لا نؤيد حاجي تحريف يا #ديما_الواطية,1
29,@DimaSadek يلعن شرفك بصباطي يا شرشوحه,1
30,@yumnafawaz يا ريت اكلتي شي كف عا نيعك,1
31,@DimaSadek اولاً الاحترام واجب السيد حسن غصبن عن رأسك مش حسن لانك إعلامية بدون احترام,1
32,@berrynawal سلامة قلبكن,0
33,@DimaSadek Bravo يا شاطرة، الله يحمي لبنان,0
34,@DimaSadek ان شاء الله بيقبرك وبنرتاح منك. اذا السيد خيفان هههه. من اسرائيل  ما خفنا منا بدك نخاف منكون يا صعاليك.… https://t.co/vNatwW6bEH,1
35,@yumnafawaz إنت وحدة بلا أخلاق وبلا أدب.عم تتمسخري على رئيس الجمهورية. عندو ولاد قد بييك وإمك. تقبلي حدن يتمسخر على… https://t.co/Ibl58ekr8L,1
36,@DimaSadek انا ضد الاسفاف والتناول الشخصي وضد فائض القوه وعدم سماع مطالب الناس.ووجعها والرد على الغضب بالعنف والقوه وصم الاذان ِ,0
37,نانسي السبع من ساحة رياض الصلح: اشكال يحصل الآن علماً انه لم يأتِ احد على ذكر الامين العام لحزب الله وهناك كلام على ان هذا الامر مُحضَّر.,0
38,@DimaSadek ولي الله يلعن لي قال لأمك مبارك ما اجاكي��‍♀️��‍♀️,1
39,@berrynawal ما ابشعك,1
40,@yumnafawaz @yumnafawaz  انتبهي فقد عاد المسعورين,0
41,"@loulouttew17 @Jessicaazar
ما خصنا هول رفقاتك �",0
42,@yumnafawaz @liliandaoud مناطق غالبيه مسلمه ليست شيعيه ولا دين آخر ! فلم يسمحوا لهم بالتعبير عن رأيهم؟,0
43,"@yumnafawaz ما اذكاكي!!!!!!! اووووووف بتعرفي بالمونتاج!!!! واااااو شو خل الثقافي!!!!!! مش شعر بدنا!!!.
طيب خلص يلا رجعي على الخسة.",1
44,@DimaSadek خلص ما تزعلي انتِ ايقونة الثورة�,0
45,@RoroHMostafa1 @ahmadja21216444 @DimaSadek خلينالك لهضامي إلك ولثورة,0
46,@DimaSadek لا تكون طريق امك ومش عارفين ابديش زفر,0
47,@MwsAmal @yumnafawaz يبعتلك قص لسانك بلا اخلاق,1
48,@DimaSadek اللهم انصر الشعب اللبناني ؤالله يحي اللبنان العطيم***,0
49,@DimaSadek @josephinedeeb @AkikiJoyce يا بلا أخلاق العونيين دافعوا عنّا الإعتداء من شخص واحد بس انت بلا ضمير بتعممي ��,1
50,"@DimaSadek انتي سخيفة وحاقدة وكتلة من العقد
ربما لانؤيد سكوت النائب حسن في هذا الموضوع ولكن الى الان لم تأتي على سيرة احد من الفاسدين",1
51,"@jf_8o @DimaSadek انتقدته فقاموا عليها
يقولون هو ليس مشارك مع الاحزاب اللي ضيعت البلد بالوقت اللي هو اصل البلا كله",0
52,@DimaSadek صباطو اشرف منك ���,1
53,"@DimaSadek عقبال ما يتعبط فيكي قد هيدا على مية مرة و يجعلكك و ما تعرفي راسك من كعب إجريكي
#ديما_الواطية",1
54,@Linalina961 @DimaSadek السيد حسن نصرالله يا حقيرة,1
55,"@lamatweetsback @dimasadekwateye @DimaSadek و انتي وقحة و وحقيرة و بتسوي صرماية لو مش عارفة هيدا زوجها للواطية
فكرتك عالم طلعتي طرطورة",1
