ID,Text,Label
7376,@Madmax43992040 ti scoperei,1
6951,"@ZioKlint A Zio anche Micron AVVERSARIO. La culona AVVERSARIA economica, frou frou (micron) politico/economico.",1
7835,@sophiebrw MA STAI ZITTA SCUSA TU MI RICORDI LA FIGA SOFIGA,1
8314,zia detestabile,1
9183,strangolare signorina,1
3262,@francescatotolo @Pat_Zago @AsiaArgento @lauraboldrini Asia Argento mi fa pena: sembra senza riferimenti,1
9191,mogli sgradite,1
3318,"RT @eloisedoukas: melissa ti inculo con sabbia, sale e cocci di vetro",1
7396,@AsiaArgento @lauraboldrini Sei stata zitta per 20 anni! Ma di quale museruola parli? Potevi parlare prima. Sei patetica! ?,1
392,@daechwita00 Ti apro in due,1
8633,strangolare zie,1
7756,@FemelleLisa Troia succhiacazzi,1
7992,madri non dovrebbero essere abbracciate,1
834,@reddishwaves Che bel culo da leccare,1
2272,casalinga non dovrebbe essere onorata,1
2363,fidanzata dovrebbe essere malmenata,1
7077,@DellaiEveline @VIXEN Ti scoperei,1
3314,@Antonel91996889 Bella bocca da pompinara ?????????,1
1244,donne pessime,1
4229,Ridevano prima d'insediare #Monti..Uno è andato..Ora tocca alla Culona inchiavabile  https://t.co/jFUPCsrKaB,1
4460,@gabry68695082 Io ti sborro tutta,1
4462,im a big fat hoe ve lo giuro su cristo che non mi frega un cazzo di niente ma quella PUTTANA la sparerei in gola e poi lo farei a me stessa per morire nel suo stesso momento posto e istante se occorresse perché sono una stronza criminale di merda disperata e i....... innamorata.,1
448,@mywifeluna @clips4sale Che brava pompinara che sei &#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;,1
3408,@vcristina29 Oh puttana hai rotto il cazzo. Vai ai insultare quella mignotta di tua madre.Si vede che sei solo una gobbaccia di merda.Non sai perdere? Cazzi tuoi troia. Impiccati,1
7574,e poi la culona a il coraggio di criticare gli altri. https://t.co/PM61old2f7,1
7602,"@Cuoreazzurro_NA @FNAPOLISEMPRE83 @IdentitaP @ddarko17 @AmedeoRota @CorSport Cuore azzurro? Metti cuore merengue o cuore blanco almeno, non vergognarti della puttana che sei",1
7813,@Sonia54360695 Che tettona,1
8818,ragazza non dovrebbe essere omaggiata,1
58,@TheGattoRognoso Mai combattere contro una directioner psicopatica che usa l’emoji che sorride al contrario. MAI.,1
