ID,Text,Label
1032,@joellebouyounes ناطرينك بفارغ الصبر. بلبقلك ننطرك✊✊,0
186,@RoulaJrady1 @Jessicaazar عم تركب الموجة بحذر شديد.. ذكية جسيكا �,0
4763,@NicoleHajal @DimaSadek فيديو قديم خلصت ست نيكول خلصت,0
2561,@NicoleHajal هاي بالجبل يا حنونة,0
2219,@DimaSadek @DimaSadek انتي كإعلامية مش المفروض ما تحرضي و تخلي الكل يتوحد ليحققوا مطالبن؟إنتي أكتر وحدة زعلانة إنو… https://t.co/N6SDOnqnHZ,0
3453,@DimaSadek كل الاحترام الك و للإستاذ @YazbekWehbe,0
1308,@DimaSadek تحية من القلب لطرابلس واهلها,0
1479,@DimaSadek بصراحة بلشنا نشك إنك جزء من الثورة كونك دايما بتحرفي الأنظار عن المطلب الحقيقي,0
4939,@EmWadih @FaresHalabi @yumnafawaz كرمال تقدمي الإخبار.. بس يا عيب الشون انتي اعمل واحد عم بشوف بلدو عم ينهار وبعدا… https://t.co/6ZU5GLaRwM,0
730,@AntounnG @joellebouyounes كلنا #جويل_بويونس,0
2166,@DimaSadek لازم تصيري تكتبي مسلسلات وافلام، سيناريو جميل واخراج مبدع,0
719,@DimaSadek الزلزال منًك ادها يا قظم.,0
3692,@DimaSadek إذا إستثنينا الأطفال يلي دحشوهن بالفيديو هئولاء جميعاً جزء من موظفي السفارات,0
2063,@berrynawal انت بطلة وحبيبة قلبي❤️,0
4650,@yumnafawaz ع شو موحّمة الماما؟,0
304,"@DimaSadek Dima
الله يقويكي ولا تتاثري لو قدر ذرة هذه أنفس مريضة وعلاجها صعب",0
3172,@DimaSadek انتي خايفة ���,0
557,@joellebouyounes @adelkaram9 كنتي بتجنني بالحلقة و حلوة منك اللطشة بالاخير! ����,0
126,"@DimaSadek  إنتِ أشرَف منن كلن ومن أخلاقن..
#كلنا_ديما_صادق",0
2481,@yumnafawaz @rayaelhassan الكل بيعرف هيدا واقعنا السياسي,0
1905,"@joellebouyounes @Laudy_1 جويل... انت من أرقى الاعلاميات.
تحية لصبرك و احترافيتك.",0
3628,"@DimaSadek ست ديما: الله يقويك و يحميك, انت صوتنا ونحن معك وشكرا...
#كلن_يعني_كلن",0
3700,"@ALJADEEDNEWS 
 ليش نانسي السبع تصر على أنها مجموعة حزبية. وتصر وتصر رغم نفي الكل",0
3887,RT @loulouttew17: @DimaSadek يا ديما يا حبيبتي إنت لأيمتى بدّك تضلّي تصدقي القوات واكاذيبن وألاعيبن؟!! والله عيب اعلامية محترمة متلك تصدّق…,0
738,@berrynawal @Abbad_2018 سلامة قلبك نوال ❤️,0
4158,@NicoleHajal عيب هلكلام من إعلامية خلص كلو صار مكشوف الإعلام متورط,0
5080,@yumnafawaz لما بكون الأمر واضح وبتاخدي لمكان آخر، بيضرب مصداقيتك.,0
4320,@berrynawal بطله يانوال بنتابعك على mtv  بتستاهلي تكوني رئيسة وزراء,0
414,@bibaraychouni @A2_EP @DimaSadek من يشك في نفسه ، طبيعي أن يشك في الآخرين .,0
2832,ولله انك بتشرفي الصحافة الحرة .... شكراً @yumnafawaz https://t.co/KWMrLGYyZF,0
2660,@DimaSadek برافو ديما�� دعمك للثورة كتير مهم,0
2013,@DimaSadek هههههه اي اوراق هيدولي يروح يدحشن ههههه,0
4947,@moeshamseddine @DimaSadek يسلملي قلبك يا ديما الله يديما,0
4422,@berrynawal يا عيب الشوم عليكي ، يا بنت الجنوب المقاوم انتي ، كم قرش بخلوكي تغيري خطك السياسي كلّياً ، روحي رجعي عي… https://t.co/gvSCEOBD42,0
691,@DimaSadek يسلم تمك يا أصيلة من يأكل ويسرق خيرات لبنان وولاء للخامنئي فهو عميل وخائن للبنان فليذهب عند خامنئي �,0
4516,@DimaSadek برافو ديمااااا مقهورين منك��,0
4034,@DimaSadek يا ديما وين المليون اليوم كان فيه كم سوري بس,0
4945,@DimaSadek بتصور محلّن بالمدرسة او شو قولك ديما صادق,0
1041,@WaelOsman @DimaSadek ما بنزل ل مستواك و ما برد عليك.. ما انتو هيك اصلا بس ما تلاقوا شي تحكوه بتسبوا,0
1941,"@yumnafawaz يمنى ضيعان العلم. 
المضموووووون.",0
4197,@berrynawal اسم الله عليكي زي الوردة بين الناس واقفة بعزة و كبرياء.. الله يخليكي لشبابك...,0
