ID,Text,Label
1014,bsdk k 4-4 ad daal rha deta h betichod,1
5779,"inn madam ko kabhi pyar kya hota h ye nahi pata chal payega, bechari feminism
ke chakkar mai aise hi marr jaayegi.",0
2932,Kya ukhad liya tune ise dekhkar??,0
1708,"Maine apne ghar pe ek chaukidaar rakha, ab wo chaukidaar kahta hai tum sabit
karo ki tum hi is ghar ke malik ho.",0
1871,**Jab Bhagwan Ko apni marji hi chalani hai to hame paida hi kyu Kiya**,0
6122,vag behen chod,1
723,"कुछ काम दंदा करता है या खालि फाल्तु के वीडियॊज बनाते बैटा हॆ! तु ऒर तेरे
वीडियो ! तुपुक !!!!",0
2926,Bhai tu sudhrega nahi 😂🤣😂🤣,0
2426,"Bas ak moka ke talassh, ma be apna susral walo ka khoon peena chahta hoo, bas
ak moka milna chahya to fir ma ne 7 lasha bicha doonga, hindustan ka kanoon ki
Maa kee choot",1
4159,Bhai plzzzz Nani starrer gang leader ka review kijiye,0
1164,Ek word chl be chup 😈,0
5749,"haa ye movie se jhaal lggya or what about veere di weeding ? pants me baraf
daala to ye tharki or usme jo masterbation or sab chutyapa bhara pada h woh
sahi waah re betichod ? bohot bhayank dogli ho yr tumlog or jhaat hindi nei
aati kya tumlog ko haa lawda rhti yaha p ho but bhasa english hona chaye ekdum
......behen bahar hi citizenship lelo badi feminist banti ho tumlog ha jhat
yhi sab chakkar mai toh aaj desh piche h lawda kaam dhanda kro or karne do
logg ko faaltu chiz logo me promote na kro .... hr waqt lawda ek hi baat k men
women are equal women can do anything that men can do abe jhaat itna hi
equality chahye na toh jao border m jaakr guns lekr khadi hojao fir dekhta hun
equality kaha dhukta h ?abe hum maante h women are equal to men  
but not in everything har kisi ka apna jgah h apna mukaam h or hum isme maante
h pr shayad tum jhaatu log is baat ko nei maanti ho or shayad tumhe shak v h k
women and men are equal isliye toh itna is mudde p bhawkti ho hum nei baat
krte ispr kyu ki hum jaante h that they are equal",1
3766,"oh gaandu , ye movie hit hui kuki log relate kr gaye the isko...tu logo ko
thik kr bs...!! movie ki gaand maarne ki jrurt nhi hai , haa wo point thik hai
ki move on kr lena chahiye...!!! baaki sb log kr rhe hain phle se be...!! jo
hota hai uspe movie hai...!!!",1
4229,"Katai kakashi jaisa ho gaya tha kabir  
(Rin ki death ke baad)",0
5071,"thank u for making this...  
  
  
mera ek sawal hai ek couple relationship mai dono ne agree hoke sex kra dono
ne wo personal space n time enjoy kiya...  
  
and future mai kisi waje se shadi nhi ho pa rahi na ladka chayta h ki shadi na
ho na ladki par aysa ho raha h, so to is baat pe ek ladki kyse ye khe sakti h
k he rape pe.  
  
sex to dono ne kiya na dono ne apni marzi se kiya fir ladka gunhegaar
kyu.?????",0
4117,Kiya bat hai,0
3380,Feminists ro rahe hai😂🤣😂🤣,0
1935,Maa chuda feminism ka,1
3603,"Sahoo jse bakwaas movie 100 crore kma ta hai or Article 370 jse accha movie
hamesha kam kyu kma ta hai...",0
2703,"Abbey to yeh wala point aaj ke movie se related hai issi liye to dikhaya hai
Lekin AAP BC mc likne mein bahut busy Rahi hongi shayad iss liye miss kar
diya..",0
190,Bhai mane to Kal hi Dekhi ha ye,0
2938,"Sir [real.love](http://real.love/) nhi smjynge ....y log ..film ..film
to.dhansu h .esa man to.ajkl.nhi h",0
1972,"movie bohot acchi hai mgr true luv ??ye kaisa true luv hai jisme hero itni
sari ldkiyo ke sath relation bnata hai ye mujhe true luv nhi lga commited toh
tha wo bt imandaar??imandari ka mtlb bohot sari ldkiyo k sath rlation bnana
hota hai kya?apne bhartiya culure ki baat ki ye bhariya culture h kya?ati wadi
kisi chiz ki acchi nhi hoti na nariadi na purush wadi or hero k multiple
pysicl relation ko sahi bolkr aap ati pushwad nhi kr rahe kya?baki movie acchi
h music bhi accha hai",0
2392,Kyon thak raha hai bhai,0
4067,"हिन्दुओ के लिए अत्यन्त जरूरी सूचना --  
जब आप ola या uber बुक करें तो मुस्लिम driver होने पर booking को कैंसिल जरूर कर
दें, आजकल मुसलमानों ने टैक्सी जिहाद शुरू कर दिया है, ये अपनी ही हिन्दू सवारी
का कत्ल कर देते हैं और उनका सामान लूट लेते हैं। ये हिन्दुओं को खत्म करने का एक
नया हथकण्डा अपनाया जा रहा है।  
इस टैक्सी जिहाद का एक छोटा सा उदाहरण है - मेरठ का टैक्सी ड्राइवर सलीम, जो 120
दिन में 250 हिन्दुओं का कत्ल कर चुका था।  
इसलिए जब भी आप किसी ऑटो, रिक्शा, टैक्सी आदि में बैठें तो उस वाहन पर देवी
देवताओं की तस्वीर जरूर देखें, अगर तस्वीर नहीं है तो उस गाड़ी में बिल्कुल न
बैठें।मतलब यह है कि किसी भी मुस्लिम ड्राइवर की गाड़ी में आप भूलकर भी न बैठें।
यह मैसेज सिर्फ पढ़कर मनोरंजन करने के लिए नहीं है, मनोरंजन करने वाले 100
हिन्दुओं की जगह इस मैसेज को 10 गम्भीर हिन्दू पढ़ें और अमल करें तो ज्यादा खुशी
होगी।  
और जिन हिन्दुओ को अपने बच्चों के भविष्य की चिन्ता है, वो youtube पर narsingh
vani, satya sanatan, hindu publisher, चैनल जरूर देखें। ये आये दिन होने वाली
हिन्दू हत्याओं का खुलासा करते हैं और एक एक अत्याचार को दिखाते हैं, जबकि मीडिया
हिन्दुओ की हत्या, बलात्कार पर चुप रहती है",0
1635,Sahi pratik bhai apne bola kabhi acchi movie se in logo ko problem ati hai,0
458,"nice yar sala ladka samaj ta ha ki ladkiya unka bina kuc nahi asal bat to ye
ha ki ladko ki okad ladki ka bina kuc nhi",1
3768,Thik kaha hai army Chief ne,0
3914,Ye Rajdeep khud ek chuteya aadmi hai communist,1
1953,"Thanos ka half universe wipe out karna ka sabse bada reason sayed ye
""feminist"" aur ""liberals"" hai 🤣🤣🤣🤣",0
1346,Bhai ek group bano hum bhi leftist ko jawab dena chaate hain,0
4610,"Accha hai anime india mein anime nahi hai warna yah fake feminist anime ko bhi
barbaad kar denge",0
4656,"@Ahmad Baloch shi hai kuch gays army mein honge to tere jaise army base mein
pkde gye to unse gand mrwa denge",1
2085,"ऐसे और 10 ... 12 केसीस होने चाही ये तब ये 498 ...dv act 2005 कितना चुतीयाप्पा
है ये सबको समझ आयेगा",0
5526,"mene bi juthe rape case mai 7 mahine ki jail kati hai 40 lakh dene pde tab
jake m nikl paya us se  
puri life change ho gyi aj tk wo hadsa bhul nahi pata..... kon jimedar hai pta
nahi",0
119,Khatam Matlab khatam 😆😆😆 uncle ko khatam hona mangta h apun,0
4808,"Atlast ye kiya ja skta hai ki non combatant trade me allow kiya ja sakta
hai...  
Agree or Not..????",0
5942,feminist or feminazi ki maa chud gai hai iss movie se??????,1
3536,Nah,0
3993,Inko hospital bejo..ye mentally hille hue log han,0
1412,"Self harm kerke body bhi NH banti kharab hojati hai Banda kamzor hojata. Hai
ya mota hojata hai fitnh rehta shakalbhi khraab hijati hai",0
4685,फेमिनिस्ट और लिबरल राष्ट्र को बरबाद कर रहे हैं।,0
2287,"[14:23](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=14m23s) wala scene ..
break the chain dude 🤣🤣😁👍🏻",0
5115,bahut badiya,0
5626,dislike karne waale paake dalli ranndi he,0
1451,Hahahaha,0
1293,"TUMBAAD movie  
pe view kya h bro?",0
83,thoda physically unfit hone pe nikal dete hai army mai....,0
4284,Tera 16 min Ka review dekhne se Acha BC film Dekh lu,1
