ID,Text,Label
2330,@IHS_RT @batoulana11 @DimaSadek اسمها ديما كاذب,1
1046,@yumnafawaz من وقت ما كحشوك من تلفزيون الجديد صار عندك الكذب عادي !!! ي موتورة,1
4323,@DimaSadek يا غبية رجعي للفيديو اللي حكى فيه السيد ما قال لن تسقط الحكومة، بل قال لا نؤيد إسقاط الحكومة. ديما الواطية والعميلة,1
708,@DimaSadek يا جماعة ما تردو على هل واطية سواقية هيك عم تعملولها قيمة حرام شوحقيرة,1
1906,@yumnafawaz بكم حرم بتلدغ يمنى,1
4058,@DimaSadek جاوبناكي يا ارهابية .. انضبي بقى العما ما بتستحي,1
2210,"@DimaSadek رح تضلك شرشوحة 
لو بعد مليون ثورة",1
1845,@DimaSadek بس يا شرشوحة,1
811,@yumnafawaz بيكونوا فكروكي شاب � ما تواخذينا,1
523,@DimaSadek ليكي اسمي ريما عاصي وعايشة بكتدا وبجي على لبنان بالسنة مرتين روحي تشكي عليي لان بس شوفك بدي ادعس  راسك و… https://t.co/QAWeCQ2ODg,1
1348,@DimaSadek عبقريّة تفاهتك�,1
3918,@DimaSadek خلص يا كلبة البحر,1
3602,@DimaSadek صرامي اهل الضاحية تاج على راسك,1
497,@DimaSadek انت لي واطية يا حقيرة يا وقحة. انضبي احسنلك,1
3380,@yumnafawaz @General_Aoun والله اقل شي انتي لازم تنكبي بالحبس مش بس عا افكارك النتنة وقلة احترامك..عا سماكة وتقل دمك,1
2351,@DimaSadek الله لا يسعد صباحك ولا يخليكي,1
807,@DimaSadek إعلامية  انتهازية من الزمن المنحط والرديء  تدعي الثورة والثوار   وهي تعيش في عالم الثراء و البذخ  صديقة… https://t.co/JhbGwmfJgl,1
2927,@yumnafawaz مخابرات جيش يا فتنوية,1
2942,@DimaSadek يا ريت امك سقّطت يا ديما قبل ما تخلّفك يا شيطان متفشّي مش هيك بتكون الثورة يا حرباية,1
4375,RT @jihad_althakafi: @DimaSadek @LbciLebanon @LBCI_NEWS @JeanFeghali #ديما_الواطيه بعد الك عين تطلعي تحكي عنجد واطية,1
3533,@yumnafawaz انتي يل هبيلة بعدك فرفورة وما بتعرفي تحكي,1
3342,@yumnafawaz بلا اخلاق بزيادة عليكي هالكلمة,1
1,@AhmadMoussaly @DimaSadek اي نحن ما منقبلها صرماية بإجرنا ...مبروك.ع راسكم,1
445,RT @alimawla8: @DimaSadek عنجد أنك زبالة,1
3699,@yumnafawaz كلام الرءيس لذوي العقول الراجحةوالراشدة وليس للاطفال..طفي الضو وفوتي نامي ،.سخيفة وهبلة��,1
2190,@fadikazwini @DimaSadek بالكديش و بالكديشة اللي عم عاملة حالها بتفهم.,1
