ID,Text,Label
1,"Bollywood film dekhne ke samay logic ghar mein chorke ana parta hain.  
Please logic mat ghusao",0
2,Chutiya movie...,0
3,"Us jaat bnde ka khene ka matlab tha mar daluga use but gand fat gyi camera
dekh ke chutiya sala shkl se hi frustrated lag rha hai for sure ye bnda andar
hi andar gay hoga but iski andar ita dum nahi hoga ki confess kre tabhi sala
age bhi apne bacho mai khaouf fila rha hai ..chutiya kahinka",0
4,"@Feminism Is CANCER *un feminist yeh sahi hai  
but iska matlab ye thodi na hai ki saare women ko gaali de  
agar ek insaan ne rape kiya to uske wajh se hume v rapist sunna parega kya?",0
5,Amrit Anand अब तो जुड़े ही है उनको बोलो जुड़ने,0
6,"@Pankaj Chauhan abey tum jse aadmiyo ko ye lgta hai to yhi shi..  
Wse tumhare liye jaruri bhi hai..",0
7,Kasturi is a jaahil,0
8,"isliya jat jhant hota hai....""main jat hu"".....use ye nehi pata Baki duniya
use jat nehi jhant bolte hai",0
9,Lit sir🔥bhenco desh bhakti mai bhi item song pelenge 🤣😂,1
10,"आर्मी में हमे मर्द चाहिए,हिजड़े नही ।",1
11,bro house of card ka review karona,0
12,@Sucharita Tyagi chal jhutiiiii 😆😆,0
13,Sahi bola bhai 🙌🙌gg,0
14,"Hello Mai ek human adviser hu Mai shwetabh gangwar sir bohot kuch shika
hu..but shwetabh sir har ek boy ya girl ke liye video to nhi bana sakhenge to
agar AP ko love break-up addition ect problem h to no-6200845455 contact me
10am to 8pm",0
15,"Bhai, Apka Video Ka FPS 30 Hai... Good.. Keep It Up...",0
16,"""Liberal bhi hai, Tolerant bhi hai!!!"" LoL",0
17,"यह एक संवेदनशील,कठोर,सनक, बेपरवाह, दर्द देने वाला,प्रेम कहानी है",0
18,"Prateek bhai dho dala....sachhi .....bht hi shaleenta se ...aur bht hi logical
hote hue apne answer diya h...... Feminists jo bhartiya Sanskriti per sawal
uthate h..... they must have to understand....BHARAT me Maa Durga ka place
sabse ucha dikhaya h ......ager ye samjh skte to😊",0
19,"Indian soldier pakistani soldier ki gand ""marne"" wala chahiye ,nahi ki gand
""marvane"" wala",0
20,vai empress ki korian drama review koro,0
21,@execute sahi kaha bhai😅,0
22,"Is sarkaar pe ab kisi ko bharosa nahi , jis 1 saal ki bachi ko uske maa baap
se alag kar diya modi aur amit shah ne uska kya ? Arundhati is right",0
23,10/10 ......ohhh...ab to dekhna padega bhai,0
24,"Kya yaar review krne se phle likh lo thoda padh lo fir kro. Do minute aur de
deta to ye Pura kahani bta deta...  
This is not a review👎",0
25,"Negative positive दोनों h sir 😊 negative ye h ki ham kisi ko uske gender s
judge ni kar sakte uske andar अपने देश के लिए देशभक्ति h tabhi vo army join
karega. Positive ye h ki bipin रावत का कहना सही h ki army m gays r not allowed
उनके army के acts जो कहते h 45 nd 46a.....",0
26,yeh hua sahi insaaf in jise b*%$# aurato ko yeh saza milne chaihye,0
27,Toh kya ladkiyan bhi nahi honi chahiye,0
28,"Ye chutiya ladki kon h be ... ... kuch v baak dethi h ......... noob girl ...
😂😂🤣🤣 ..",1
29,Netflix bhi faltu chiz mai Masters kara rakha hai.,0
30,Ky sahi bolne se maan liya jaye ga....,0
31,Mujhe taras aata taaliya bajane wale chutio pe...,0
